Participant_ID,Age_Group,Cognitive_Level,Game_Session_ID,Time_Spent,Total_Actions,Correct_Responses,Incorrect_Responses,Hint_Usage,Game_Completion_Status,Engagement_Level,Eye_Tracking_Focus_Duration,Touch_Interactions,Facial_Expression_Sentiment,Reaction_Time,Museum_Exhibit_Type,Crowd_Level,Performance_Level
P238,9-12,Advanced,S238,337,93,53,40,0,0,High,8.17,42,Neutral,0.87,AR-based,Medium,Struggling
P239,6-8,Advanced,S239,128,90,37,53,1,0,Low,28.06,17,Frustrated,1.77,AR-based,Medium,Disengaged
P240,6-8,Early,S240,330,44,23,21,4,0,High,5.86,28,Neutral,1.12,VR-based,Low,Struggling
P241,3-5,Early,S241,419,57,37,20,2,0,High,20.17,6,Neutral,2.97,VR-based,Low,Struggling
P242,9-12,Early,S242,527,83,47,36,5,0,High,8.52,44,Frustrated,1.47,Physical Display,Low,Struggling
P243,3-5,Advanced,S243,185,66,63,3,5,0,Medium,5.22,10,Happy,0.73,VR-based,High,Struggling
P244,3-5,Developing,S244,64,37,5,32,2,1,High,21.71,8,Frustrated,1.77,Physical Display,Medium,Struggling
P245,6-8,Advanced,S245,178,24,11,13,2,1,Medium,10.35,33,Neutral,1.93,Physical Display,Low,Struggling
P246,9-12,Developing,S246,140,75,6,69,5,1,Low,6.59,10,Neutral,0.76,Physical Display,High,Disengaged
P247,6-8,Advanced,S247,165,13,1,12,0,0,Medium,26.5,39,Neutral,2.19,AR-based,Low,Struggling
P248,9-12,Developing,S248,374,25,1,24,5,0,Low,12.96,15,Neutral,2.06,AR-based,High,Disengaged
P249,9-12,Early,S249,291,24,20,4,3,1,Medium,16.07,48,Happy,2.38,VR-based,Medium,Struggling
P250,6-8,Early,S250,422,44,35,9,3,1,High,18.47,46,Neutral,0.65,VR-based,High,Optimal
P251,9-12,Developing,S251,58,43,14,29,3,0,High,9.53,50,Neutral,1.13,VR-based,High,Disengaged
P252,3-5,Early,S252,558,31,21,10,0,1,High,17.68,37,Neutral,0.95,VR-based,Medium,Struggling
P253,3-5,Developing,S253,522,97,96,1,3,0,High,7.23,48,Neutral,1.14,AR-based,High,Optimal
P254,9-12,Early,S254,347,90,64,26,2,0,Medium,23.54,14,Frustrated,1.87,VR-based,Low,Struggling
P255,3-5,Advanced,S255,176,80,1,79,3,1,High,6.79,47,Happy,1.22,AR-based,High,Struggling
P256,6-8,Developing,S256,476,31,24,7,2,1,Medium,9.66,24,Neutral,2.26,AR-based,High,Struggling
P257,3-5,Advanced,S257,598,89,42,47,1,1,Medium,15.53,36,Neutral,0.96,Physical Display,High,Struggling
P258,9-12,Advanced,S258,475,31,23,8,1,0,High,24.04,14,Neutral,2.44,VR-based,Medium,Optimal
P259,3-5,Advanced,S259,438,30,0,30,3,1,Medium,24.16,17,Frustrated,2.76,Physical Display,Low,Struggling
P260,9-12,Developing,S260,413,82,40,42,1,0,High,24.15,40,Frustrated,1.3,VR-based,Medium,Struggling
P261,9-12,Advanced,S261,389,85,47,38,3,1,Low,13.55,33,Frustrated,2.53,Physical Display,High,Disengaged
P262,9-12,Early,S262,193,71,50,21,3,1,Medium,10.77,21,Neutral,2.04,AR-based,Low,Struggling
P263,6-8,Early,S263,192,57,41,16,1,0,Medium,28.26,35,Happy,2.81,VR-based,Medium,Struggling
P264,6-8,Early,S264,30,80,1,79,3,0,Medium,28.07,22,Happy,1.88,VR-based,Medium,Disengaged
P265,3-5,Advanced,S265,488,55,0,55,4,0,Medium,9.26,11,Happy,1.92,Physical Display,High,Struggling
P266,3-5,Early,S266,184,79,27,52,1,1,Low,6.68,17,Neutral,1.11,Physical Display,High,Disengaged
P267,6-8,Developing,S267,286,58,41,17,2,0,High,26.25,12,Happy,1.21,VR-based,Medium,Optimal
P268,6-8,Early,S268,216,15,6,9,0,0,Medium,20.77,48,Happy,0.92,Physical Display,Medium,Struggling
P269,3-5,Advanced,S269,164,46,13,33,5,1,Medium,9.17,41,Happy,1.72,AR-based,Low,Struggling
P270,9-12,Advanced,S270,539,100,37,63,4,0,Medium,18.48,36,Frustrated,1.52,VR-based,High,Struggling
P271,9-12,Developing,S271,248,28,26,2,3,0,Low,14.14,36,Neutral,1.65,Physical Display,Medium,Disengaged
P272,9-12,Early,S272,37,30,10,20,1,1,High,11.56,21,Happy,1.94,AR-based,Low,Disengaged
P273,9-12,Developing,S273,76,64,57,7,2,0,High,25.26,26,Frustrated,1.37,AR-based,Medium,Optimal
P274,6-8,Developing,S274,265,85,59,26,0,1,Medium,9.84,38,Neutral,2.41,VR-based,Low,Struggling
P275,3-5,Developing,S275,473,30,28,2,4,1,High,22.89,28,Neutral,0.68,AR-based,Medium,Optimal
P276,9-12,Early,S276,163,87,36,51,5,1,Medium,25.7,27,Neutral,1.09,VR-based,Medium,Struggling
P277,9-12,Early,S277,354,69,55,14,5,0,High,11.15,21,Neutral,2.45,Physical Display,Low,Optimal
P278,6-8,Developing,S278,360,65,52,13,4,1,Low,19.63,46,Frustrated,2.81,VR-based,Medium,Disengaged
P279,3-5,Early,S279,265,38,15,23,1,0,Low,21.01,14,Neutral,0.51,AR-based,Low,Disengaged
P280,3-5,Advanced,S280,216,56,45,11,0,0,Medium,21.25,8,Happy,2.75,VR-based,High,Struggling
P281,6-8,Advanced,S281,293,91,68,23,4,1,Medium,29.07,8,Frustrated,2.94,Physical Display,High,Struggling
P282,3-5,Developing,S282,349,15,15,0,3,1,Medium,21.18,38,Happy,1.02,AR-based,Low,Struggling
P283,9-12,Early,S283,482,99,2,97,5,1,Medium,8.32,33,Happy,1.99,VR-based,High,Struggling
P284,3-5,Early,S284,230,12,0,12,5,0,Medium,10.41,36,Neutral,0.83,Physical Display,Medium,Struggling
P285,9-12,Advanced,S285,341,62,15,47,4,0,Medium,26.53,46,Happy,1.11,Physical Display,High,Struggling
P286,6-8,Developing,S286,165,75,35,40,3,0,Medium,6.01,29,Neutral,1.36,Physical Display,Low,Struggling
P287,6-8,Advanced,S287,594,66,52,14,0,0,Medium,12.84,10,Neutral,0.97,Physical Display,Medium,Struggling
P288,6-8,Developing,S288,46,27,4,23,1,0,Low,27.98,22,Happy,1.24,VR-based,Low,Disengaged
P289,6-8,Early,S289,313,25,21,4,4,1,High,8.03,39,Happy,0.92,AR-based,High,Optimal
P290,3-5,Early,S290,105,16,13,3,0,0,Medium,12.03,48,Happy,0.76,AR-based,Low,Struggling
P291,6-8,Advanced,S291,361,35,35,0,1,0,Medium,8.43,34,Frustrated,2.63,AR-based,Low,Struggling
P292,6-8,Advanced,S292,416,65,54,11,2,1,Low,15.25,29,Frustrated,2.91,Physical Display,Low,Disengaged
P293,3-5,Early,S293,401,90,16,74,1,1,High,24.74,45,Neutral,2.05,VR-based,High,Struggling
P294,3-5,Early,S294,211,58,27,31,0,1,Low,21.69,28,Neutral,1.97,Physical Display,High,Disengaged
P295,9-12,Advanced,S295,274,72,14,58,5,1,Medium,11.38,20,Happy,0.67,VR-based,Low,Struggling
P296,6-8,Advanced,S296,42,28,18,10,3,1,High,25.01,26,Happy,2.29,AR-based,High,Disengaged
P297,6-8,Early,S297,317,39,19,20,4,0,Medium,16.2,25,Happy,0.86,Physical Display,Medium,Struggling
P298,3-5,Developing,S298,381,79,26,53,5,1,Low,5.6,39,Happy,1.14,Physical Display,High,Disengaged
P299,6-8,Advanced,S299,131,96,44,52,0,0,Medium,27.82,10,Happy,0.65,VR-based,Low,Struggling
P300,3-5,Early,S300,509,46,13,33,2,0,High,22.99,29,Frustrated,2.8,AR-based,Medium,Struggling
P301,3-5,Developing,S301,545,89,14,75,1,0,High,12.79,9,Happy,1.72,VR-based,Medium,Struggling
P302,3-5,Advanced,S302,33,88,70,18,0,0,Low,5.44,7,Happy,1.83,Physical Display,Low,Disengaged
P303,9-12,Developing,S303,128,68,50,18,3,1,High,24.68,17,Frustrated,0.89,VR-based,Low,Optimal
P304,9-12,Early,S304,369,19,1,18,1,1,Medium,9.52,5,Happy,2.02,VR-based,High,Struggling
P305,6-8,Early,S305,154,66,57,9,3,0,Medium,26.13,33,Frustrated,1.66,AR-based,Medium,Struggling
P306,3-5,Early,S306,464,15,6,9,3,0,Medium,22.03,5,Frustrated,1.56,Physical Display,Medium,Struggling
P307,6-8,Advanced,S307,234,56,4,52,2,0,Medium,27.66,49,Happy,1.23,AR-based,Medium,Struggling
P308,9-12,Early,S308,360,16,4,12,0,0,Medium,25.9,33,Happy,0.93,AR-based,Low,Struggling
P309,6-8,Developing,S309,121,37,10,27,3,1,Low,17.85,43,Happy,1.47,VR-based,High,Disengaged
P310,6-8,Advanced,S310,452,94,30,64,4,0,Low,20.96,11,Frustrated,2.55,Physical Display,Low,Disengaged
P311,3-5,Advanced,S311,125,86,63,23,1,0,High,28.45,19,Frustrated,1.22,AR-based,High,Optimal
P312,3-5,Advanced,S312,429,100,56,44,4,1,Medium,7.61,37,Neutral,0.73,VR-based,High,Struggling
P313,9-12,Advanced,S313,552,59,15,44,4,1,Medium,7.61,40,Happy,2.98,Physical Display,Medium,Struggling
P314,3-5,Developing,S314,493,20,0,20,0,1,Low,24.98,48,Frustrated,0.93,AR-based,Low,Disengaged
P315,9-12,Developing,S315,44,63,26,37,3,0,Medium,20.29,23,Frustrated,1.04,VR-based,Low,Disengaged
P316,9-12,Early,S316,320,70,17,53,3,1,High,25.95,11,Happy,0.64,VR-based,High,Struggling
P317,9-12,Early,S317,345,81,30,51,1,0,Medium,28.42,36,Happy,0.63,Physical Display,Low,Struggling
P318,3-5,Developing,S318,468,38,23,15,3,1,Low,17.56,5,Happy,2.28,VR-based,Low,Disengaged
P319,6-8,Advanced,S319,238,94,1,93,1,1,High,19.66,24,Neutral,2.01,AR-based,Medium,Struggling
P320,3-5,Advanced,S320,222,57,45,12,1,0,Low,15.95,35,Happy,2.65,VR-based,Medium,Disengaged
P321,6-8,Developing,S321,211,100,73,27,5,1,High,22.08,10,Neutral,1.29,Physical Display,High,Optimal
P322,6-8,Early,S322,317,95,53,42,0,1,High,19.71,15,Frustrated,0.97,Physical Display,Medium,Struggling
P323,9-12,Early,S323,330,81,36,45,4,1,High,7.34,13,Happy,1.5,Physical Display,Medium,Struggling
P324,9-12,Developing,S324,562,69,18,51,1,0,High,22.2,36,Neutral,1.04,Physical Display,High,Struggling
P325,6-8,Developing,S325,369,95,87,8,4,0,Medium,21.18,13,Happy,2.43,VR-based,High,Struggling
P326,3-5,Developing,S326,66,23,0,23,3,1,Medium,29.3,32,Happy,2.32,AR-based,Medium,Struggling
P327,9-12,Advanced,S327,437,42,18,24,5,1,Medium,8.97,40,Happy,2.43,VR-based,Low,Struggling
P328,6-8,Developing,S328,140,95,56,39,1,0,Medium,8.67,43,Neutral,0.52,AR-based,Medium,Struggling
P329,6-8,Early,S329,203,77,10,67,0,1,High,11.01,9,Happy,2.85,AR-based,High,Struggling
P330,6-8,Developing,S330,196,32,21,11,0,1,Medium,6.62,29,Frustrated,0.57,Physical Display,High,Struggling
P331,9-12,Developing,S331,114,11,11,0,5,1,High,23.85,34,Frustrated,2.81,VR-based,Medium,Optimal
P332,6-8,Developing,S332,459,67,57,10,0,1,Medium,9.21,23,Frustrated,1.45,AR-based,High,Struggling
P333,6-8,Advanced,S333,418,15,12,3,2,0,High,8.42,22,Frustrated,1.45,AR-based,High,Optimal
P334,3-5,Early,S334,229,58,38,20,0,0,High,11.4,49,Neutral,0.76,Physical Display,High,Struggling
P335,3-5,Developing,S335,526,91,85,6,0,0,High,17.98,43,Neutral,2.78,AR-based,Low,Optimal
P336,6-8,Advanced,S336,63,45,42,3,3,1,High,16.41,49,Happy,0.77,Physical Display,High,Optimal
P337,3-5,Advanced,S337,226,23,12,11,4,1,High,14.47,17,Happy,1.91,Physical Display,High,Struggling
P338,9-12,Early,S338,115,23,21,2,2,0,Medium,11.31,15,Neutral,2.31,Physical Display,High,Struggling
P339,6-8,Advanced,S339,181,89,78,11,3,1,Low,14.01,49,Neutral,2.21,VR-based,Low,Disengaged
P340,9-12,Advanced,S340,327,98,64,34,4,0,High,28.63,35,Neutral,2.4,VR-based,Low,Struggling
P341,6-8,Early,S341,494,20,15,5,5,1,Low,18.38,13,Neutral,2.8,VR-based,Low,Disengaged
P342,9-12,Developing,S342,347,75,2,73,1,0,High,27.33,10,Neutral,1.83,AR-based,Low,Struggling
P343,3-5,Advanced,S343,131,71,27,44,1,1,High,19.71,19,Happy,1.27,Physical Display,Low,Struggling
P344,3-5,Advanced,S344,252,54,30,24,2,0,Low,8.66,21,Neutral,0.82,VR-based,High,Disengaged
P345,6-8,Early,S345,201,12,9,3,0,0,Low,19.56,31,Neutral,1.17,AR-based,Medium,Disengaged
P346,3-5,Early,S346,104,43,9,34,1,1,High,7.75,35,Neutral,1.46,Physical Display,High,Struggling
P347,6-8,Early,S347,190,82,53,29,2,1,Medium,10.91,37,Neutral,1.09,VR-based,Low,Struggling
P348,3-5,Advanced,S348,139,61,60,1,3,1,Medium,28.1,12,Frustrated,2.07,VR-based,Low,Struggling
P349,9-12,Developing,S349,281,79,67,12,5,1,Medium,12.72,10,Frustrated,1.62,AR-based,Low,Struggling
P350,6-8,Developing,S350,122,82,41,41,1,0,High,11.4,23,Neutral,0.81,VR-based,High,Struggling
P351,3-5,Developing,S351,350,58,6,52,4,1,Medium,14.18,5,Happy,0.83,AR-based,Medium,Struggling
P352,6-8,Advanced,S352,410,62,15,47,5,1,Low,22.9,17,Frustrated,1.09,VR-based,Medium,Disengaged
P353,3-5,Advanced,S353,471,13,3,10,2,0,High,28.08,26,Happy,0.63,Physical Display,Medium,Struggling
P354,3-5,Advanced,S354,161,18,18,0,3,1,High,7.49,24,Frustrated,2.9,AR-based,Low,Optimal
P355,9-12,Advanced,S355,31,88,43,45,3,0,High,29.74,42,Frustrated,0.87,AR-based,High,Disengaged
P356,9-12,Developing,S356,350,99,73,26,3,0,Medium,20.14,23,Happy,2.53,AR-based,Low,Struggling
P357,3-5,Advanced,S357,206,94,74,20,2,0,Low,7.14,32,Frustrated,1.96,VR-based,High,Disengaged
P358,6-8,Early,S358,141,54,20,34,2,1,Low,8.66,20,Frustrated,1.48,AR-based,Medium,Disengaged
P359,3-5,Advanced,S359,535,81,31,50,5,0,Medium,13.98,15,Happy,2.87,Physical Display,Medium,Struggling
P360,6-8,Advanced,S360,259,52,27,25,2,0,Medium,15.41,44,Happy,2.04,VR-based,High,Struggling
P361,6-8,Advanced,S361,573,16,15,1,4,0,Low,25.36,9,Happy,1.01,Physical Display,High,Disengaged
P362,9-12,Advanced,S362,130,30,16,14,3,1,High,6.76,35,Happy,0.67,AR-based,Low,Struggling
P363,6-8,Developing,S363,556,99,38,61,5,1,Medium,17.03,40,Frustrated,1.37,VR-based,High,Struggling
P364,9-12,Developing,S364,561,60,45,15,3,0,High,17.99,11,Neutral,0.54,Physical Display,Low,Optimal
P365,9-12,Early,S365,217,29,11,18,0,0,Medium,14.76,43,Happy,2.73,AR-based,Low,Struggling
P366,6-8,Developing,S366,386,13,7,6,0,1,Medium,6.41,23,Neutral,2.61,Physical Display,High,Struggling
P367,3-5,Developing,S367,185,42,42,0,1,1,Medium,29.91,12,Happy,2.6,Physical Display,Low,Struggling
P368,6-8,Developing,S368,350,27,10,17,4,1,Medium,5.85,33,Frustrated,1.52,Physical Display,Low,Struggling
P369,6-8,Advanced,S369,139,94,19,75,0,0,High,23.95,10,Happy,2.44,AR-based,High,Struggling
P370,3-5,Developing,S370,556,81,17,64,0,0,Medium,5.62,16,Frustrated,1.33,AR-based,Low,Struggling
P371,3-5,Early,S371,533,92,90,2,3,0,Medium,22.59,7,Neutral,0.9,Physical Display,Low,Struggling
P372,9-12,Early,S372,157,99,85,14,1,0,High,26.65,49,Happy,1.23,AR-based,Low,Optimal
P373,9-12,Early,S373,56,97,85,12,5,0,Medium,11.95,33,Frustrated,2.73,Physical Display,Low,Disengaged
P374,3-5,Advanced,S374,460,64,57,7,4,0,Low,10.52,7,Neutral,1.47,AR-based,Low,Disengaged
P375,3-5,Advanced,S375,500,61,25,36,3,0,Medium,10.21,46,Frustrated,2.23,AR-based,Medium,Struggling
P376,6-8,Advanced,S376,87,44,2,42,3,0,High,10.21,23,Neutral,1.31,VR-based,Low,Struggling
P377,3-5,Advanced,S377,126,52,44,8,5,1,Low,6.86,28,Frustrated,2.78,VR-based,Low,Disengaged
P378,3-5,Early,S378,346,53,5,48,3,1,Medium,9.39,23,Frustrated,1.67,AR-based,High,Struggling
P379,9-12,Advanced,S379,439,68,48,20,4,0,Low,29.14,35,Happy,0.99,Physical Display,Medium,Disengaged
P380,9-12,Advanced,S380,327,52,42,10,4,1,Low,24.45,26,Neutral,2.98,AR-based,High,Disengaged
P381,6-8,Early,S381,505,63,63,0,4,0,Medium,11.46,5,Neutral,1.16,Physical Display,Medium,Struggling
P382,9-12,Advanced,S382,106,62,58,4,1,0,Medium,28.45,5,Happy,1.27,VR-based,Low,Struggling
P383,3-5,Advanced,S383,526,11,9,2,4,0,High,18.29,29,Frustrated,2.83,VR-based,Low,Optimal
P384,6-8,Advanced,S384,513,29,19,10,5,1,Medium,22.3,29,Frustrated,1.08,AR-based,Medium,Struggling
P385,6-8,Early,S385,544,23,6,17,3,1,Low,16.95,46,Frustrated,1.54,Physical Display,Medium,Disengaged
P386,9-12,Advanced,S386,438,100,11,89,0,1,Low,23.28,28,Frustrated,2.67,AR-based,Low,Disengaged
P387,6-8,Developing,S387,182,42,40,2,1,1,Medium,27.13,45,Neutral,2.73,AR-based,High,Struggling
P388,3-5,Developing,S388,310,31,6,25,5,0,High,6.61,34,Happy,2.52,Physical Display,High,Struggling
P389,9-12,Developing,S389,121,83,49,34,5,0,High,13.58,21,Frustrated,2.9,Physical Display,Low,Struggling
P390,9-12,Early,S390,598,73,43,30,0,0,High,17.39,25,Neutral,2.12,AR-based,High,Struggling
P391,9-12,Early,S391,485,57,2,55,5,0,High,29.03,28,Happy,1.51,AR-based,High,Struggling
P392,6-8,Early,S392,92,50,16,34,0,0,Medium,7.15,34,Neutral,1.75,Physical Display,Low,Struggling
P393,9-12,Advanced,S393,547,95,49,46,3,0,Medium,7.46,13,Happy,2.37,Physical Display,High,Struggling
P394,9-12,Advanced,S394,211,91,84,7,2,1,Low,6.86,17,Frustrated,0.63,VR-based,High,Disengaged
P395,6-8,Advanced,S395,519,88,7,81,4,1,Medium,15.01,22,Happy,1.82,Physical Display,High,Struggling
P396,9-12,Advanced,S396,567,79,73,6,3,1,Low,18.51,13,Neutral,0.61,AR-based,Medium,Disengaged
P397,9-12,Developing,S397,453,98,52,46,2,0,High,10.73,12,Frustrated,2.58,AR-based,Medium,Struggling
P398,3-5,Developing,S398,80,13,1,12,4,1,Medium,15.12,25,Frustrated,2.6,AR-based,Medium,Struggling
P399,6-8,Early,S399,331,66,11,55,0,0,Low,28.15,32,Happy,2.81,VR-based,High,Disengaged
P400,3-5,Advanced,S400,332,100,22,78,2,0,Medium,5.81,24,Happy,2.4,VR-based,Low,Struggling
P401,6-8,Advanced,S401,572,82,61,21,0,1,High,12.36,29,Happy,1.35,AR-based,Medium,Optimal
P402,9-12,Developing,S402,568,34,25,9,3,1,Medium,14.41,43,Frustrated,0.73,VR-based,High,Struggling
P403,3-5,Advanced,S403,544,94,58,36,1,0,Medium,20.71,8,Frustrated,2.92,Physical Display,Low,Struggling
P404,9-12,Developing,S404,74,80,37,43,4,1,High,18.25,8,Happy,2.08,Physical Display,Medium,Struggling
P405,6-8,Developing,S405,502,82,74,8,3,0,Medium,10.55,35,Happy,0.65,AR-based,Medium,Struggling
P406,6-8,Developing,S406,393,98,66,32,3,0,Low,11.23,16,Neutral,1.88,Physical Display,Low,Disengaged
P407,9-12,Advanced,S407,340,75,62,13,3,0,Medium,12.73,6,Happy,0.56,Physical Display,Low,Struggling
P408,9-12,Early,S408,139,24,21,3,5,0,High,5.97,40,Neutral,1.8,Physical Display,Low,Optimal
P409,9-12,Advanced,S409,456,31,23,8,5,0,Low,19.12,23,Happy,2.78,AR-based,Medium,Disengaged
P410,9-12,Advanced,S410,427,20,17,3,4,1,Medium,22.9,15,Frustrated,0.99,AR-based,Medium,Struggling
P411,6-8,Developing,S411,471,81,58,23,4,0,High,10.83,34,Frustrated,2.31,VR-based,High,Optimal
P412,3-5,Advanced,S412,239,11,10,1,0,0,High,6.53,32,Neutral,2.03,AR-based,High,Optimal
P413,9-12,Early,S413,37,54,44,10,5,0,Medium,23.78,26,Happy,0.89,VR-based,Low,Disengaged
P414,3-5,Early,S414,490,71,29,42,2,1,Medium,27.86,5,Frustrated,2.76,VR-based,High,Struggling
P415,3-5,Early,S415,418,48,10,38,0,1,Low,22.27,16,Happy,0.75,AR-based,Low,Disengaged
P416,9-12,Early,S416,600,74,1,73,2,1,Medium,22.13,34,Neutral,1.11,Physical Display,High,Struggling
P417,6-8,Early,S417,123,60,17,43,3,0,High,8.13,6,Happy,1.92,Physical Display,High,Struggling
P418,6-8,Developing,S418,233,77,75,2,1,0,High,11.04,46,Neutral,1.28,AR-based,Medium,Optimal
P419,3-5,Advanced,S419,565,56,26,30,0,0,Medium,21.81,48,Neutral,2.34,Physical Display,Medium,Struggling
P420,9-12,Early,S420,292,48,27,21,4,0,High,24.4,6,Frustrated,1.29,VR-based,Low,Struggling
P421,3-5,Early,S421,454,44,8,36,3,0,Medium,19.84,13,Happy,2.84,VR-based,Medium,Struggling
P422,6-8,Advanced,S422,566,59,15,44,4,0,High,27.86,9,Neutral,1.71,AR-based,Medium,Struggling
P423,9-12,Early,S423,183,55,43,12,1,0,Low,20.59,13,Frustrated,2.63,Physical Display,Medium,Disengaged
P424,3-5,Early,S424,507,88,3,85,5,0,High,16.34,25,Frustrated,1.95,AR-based,Low,Struggling
P425,3-5,Advanced,S425,337,12,12,0,3,0,Medium,12.51,17,Happy,2.26,AR-based,High,Struggling
P426,9-12,Developing,S426,480,39,29,10,4,0,Medium,9.74,15,Neutral,1.39,Physical Display,Low,Struggling
P427,3-5,Advanced,S427,115,34,32,2,5,0,Low,16.78,33,Neutral,2.32,AR-based,High,Disengaged
P428,9-12,Advanced,S428,242,69,67,2,4,1,High,27.78,14,Neutral,1.63,AR-based,Low,Optimal
P429,9-12,Early,S429,506,85,41,44,1,0,High,11.44,41,Frustrated,0.75,VR-based,Medium,Struggling
P430,6-8,Early,S430,563,77,34,43,3,1,Low,15.47,48,Happy,1.09,Physical Display,High,Disengaged
P431,9-12,Developing,S431,294,18,8,10,5,1,Medium,23.89,16,Neutral,2.94,Physical Display,Medium,Struggling
P432,6-8,Developing,S432,546,48,24,24,2,1,High,25.62,17,Frustrated,2.79,Physical Display,High,Struggling
P433,3-5,Advanced,S433,201,30,8,22,0,0,Low,27.02,34,Happy,0.99,VR-based,Low,Disengaged
P434,3-5,Advanced,S434,512,20,0,20,4,0,Low,8.07,32,Neutral,1.49,Physical Display,High,Disengaged
P435,3-5,Early,S435,576,45,3,42,1,0,Medium,26.68,17,Happy,1.28,Physical Display,Low,Struggling
P436,3-5,Advanced,S436,529,97,47,50,5,1,Low,13.47,12,Neutral,0.86,Physical Display,High,Disengaged
P437,3-5,Developing,S437,325,61,54,7,4,1,Low,6.45,43,Frustrated,1.09,Physical Display,Low,Disengaged
P438,6-8,Early,S438,392,19,0,19,5,0,High,23.26,11,Happy,1.3,AR-based,Low,Struggling
P439,3-5,Early,S439,337,61,20,41,1,1,Low,21.1,49,Neutral,2.1,Physical Display,Medium,Disengaged
P440,6-8,Early,S440,267,61,33,28,4,0,High,25.19,10,Happy,1.24,AR-based,Medium,Struggling
P441,9-12,Developing,S441,264,27,27,0,2,0,Medium,7.55,37,Frustrated,2.09,VR-based,Medium,Struggling
P442,9-12,Developing,S442,453,63,38,25,5,0,Medium,10.97,37,Neutral,0.76,AR-based,Low,Struggling
P443,6-8,Developing,S443,184,84,35,49,4,1,High,5.42,16,Frustrated,0.9,VR-based,Low,Struggling
P444,9-12,Advanced,S444,212,74,4,70,0,0,High,23.84,19,Frustrated,0.77,AR-based,High,Struggling
P445,9-12,Early,S445,473,66,19,47,5,0,Low,27.49,42,Frustrated,1.55,AR-based,High,Disengaged
P446,3-5,Early,S446,259,14,3,11,1,1,High,20.6,40,Happy,1.43,Physical Display,Low,Struggling
P447,9-12,Developing,S447,69,91,55,36,4,0,Medium,7.56,11,Neutral,2.04,AR-based,High,Struggling
P448,6-8,Early,S448,359,38,18,20,0,0,High,9.2,37,Happy,2.86,VR-based,High,Struggling
P449,3-5,Early,S449,148,96,83,13,2,0,Low,17.18,34,Neutral,0.55,Physical Display,Low,Disengaged
P450,6-8,Early,S450,77,93,55,38,2,1,Medium,8.43,5,Happy,2.6,VR-based,High,Struggling
P451,6-8,Early,S451,177,39,27,12,2,0,Low,7.53,41,Neutral,2.19,Physical Display,Medium,Disengaged
P452,6-8,Early,S452,359,91,70,21,2,1,High,7.52,13,Neutral,1.65,Physical Display,Medium,Optimal
P453,6-8,Advanced,S453,177,63,28,35,0,0,Medium,26.3,11,Frustrated,1.98,Physical Display,Medium,Struggling
P454,3-5,Early,S454,582,81,13,68,4,0,Medium,12.11,47,Neutral,1.73,AR-based,Low,Struggling
P455,9-12,Developing,S455,414,93,24,69,5,0,High,11.89,32,Frustrated,0.66,Physical Display,Low,Struggling
P456,6-8,Early,S456,423,20,1,19,3,1,Low,19.94,5,Neutral,1.84,VR-based,Medium,Disengaged
P457,6-8,Early,S457,260,16,16,0,3,0,High,10.45,35,Happy,2.48,Physical Display,Low,Optimal
P458,9-12,Early,S458,133,59,31,28,3,0,Medium,28.21,17,Happy,1.43,AR-based,High,Struggling
P459,6-8,Early,S459,523,34,26,8,4,0,Medium,8.36,25,Neutral,2.25,Physical Display,High,Struggling
P460,6-8,Developing,S460,418,42,1,41,2,0,High,24.57,50,Neutral,0.58,VR-based,High,Struggling
P461,3-5,Advanced,S461,497,53,21,32,1,1,High,26.65,28,Neutral,1.42,AR-based,Medium,Struggling
P462,3-5,Advanced,S462,168,42,41,1,3,0,Medium,20.92,30,Happy,0.7,VR-based,Low,Struggling
P463,3-5,Developing,S463,337,85,64,21,4,0,Low,10.59,46,Frustrated,0.63,VR-based,High,Disengaged
P464,3-5,Developing,S464,152,92,38,54,1,1,Medium,11.87,30,Happy,1.09,AR-based,High,Struggling
P465,3-5,Early,S465,383,50,12,38,4,0,High,23.02,14,Frustrated,0.9,Physical Display,Medium,Struggling
P466,3-5,Advanced,S466,491,89,2,87,3,1,Medium,13.82,19,Frustrated,1.09,VR-based,High,Struggling
P467,9-12,Developing,S467,284,18,13,5,1,0,Medium,19.33,21,Neutral,2.83,Physical Display,Medium,Struggling
P468,6-8,Developing,S468,274,54,22,32,5,1,High,22.87,20,Happy,0.56,VR-based,High,Struggling
P469,9-12,Advanced,S469,426,58,22,36,1,0,Medium,16.28,41,Neutral,1.88,VR-based,High,Struggling
P470,3-5,Developing,S470,331,54,19,35,5,0,Low,25.98,42,Frustrated,1.93,VR-based,Medium,Disengaged
P471,3-5,Developing,S471,470,10,2,8,0,1,High,28.96,22,Frustrated,2.78,Physical Display,High,Struggling
P472,9-12,Early,S472,107,54,5,49,2,1,High,15.69,33,Happy,2.77,VR-based,Low,Struggling
P473,3-5,Developing,S473,464,52,42,10,4,1,High,6.22,22,Frustrated,2.63,Physical Display,Low,Optimal
P474,9-12,Advanced,S474,58,46,11,35,1,1,Medium,20.83,15,Happy,2.0,AR-based,Medium,Disengaged
P475,6-8,Developing,S475,222,74,10,64,5,1,Medium,29.11,17,Frustrated,1.59,Physical Display,High,Struggling
P476,9-12,Developing,S476,541,98,4,94,3,1,High,22.04,12,Happy,2.85,VR-based,High,Struggling
P477,3-5,Advanced,S477,65,46,14,32,1,0,High,14.61,34,Happy,2.88,Physical Display,Low,Struggling
